Tamano de matriz,Tiempo de ejecucion (ms)
1479,38.093
1480,37.625
1481,37.413
1482,39.282
1483,38.906
1484,37.646
1485,36.543
1486,37.587
1487,36.709
1488,38.609
1489,39.516
1490,36.851
1491,38.658
1492,39.336
1493,37.819
1494,38.711
1495,37.551
1496,39.178
1497,37.145
1498,39.063
1499,38.401
1500,37.927
1501,41.993
1502,38.485
1503,38.517
1504,38.605
1505,38.28
1506,37.911
1507,40.622
1508,39.289
1509,39.357
1510,40.002
1511,38.795
1512,40.353
1513,39.149
1514,39.99
1515,37.335
1516,40.615
1517,40.684
1518,40.185
1519,40.558
1520,41.058
1521,39.704
1522,40.639
1523,39.778
1524,40.781
1525,41.939
1526,42.397
1527,38.936
1528,41.182
1529,40.508
1530,39.22
1531,39.727
1532,40.121
1533,40.836
1534,40.635
1535,39.7
1536,41.75
1537,39.636
1538,41.711
1539,40.404
1540,41.936
1541,40.839
1542,40.457
1543,41.774
1544,43.945
1545,40.738
1546,40.392
1547,41.415
1548,41.369
1549,40.921
1550,41.034
1551,42.526
1552,41.947
1553,40.719
1554,41.238
1555,42.418
1556,42.607
1557,42.369
1558,43.65
1559,42.779
1560,44.009
1561,40.877
1562,42.89
1563,41.094
1564,42.565
1565,42.68
1566,42.379
1567,42.802
1568,41.315
1569,44.558
1570,42.004
1571,40.93
1572,42.625
1573,42.195
1574,41.468
1575,42.092
1576,41.723
1577,42.151
1578,42.435
1579,43.286
1580,47.033
1581,42.771
1582,45.645
1583,45.293
1584,43.493
1585,41.649
1586,44.161
1587,44.8
1588,44.313
1589,43.872
1590,41.499
1591,43.548
1592,43.118
1593,43.536
1594,43.358
1595,44.475
1596,43.67
1597,43.652
1598,42.485
1599,46.054
1600,43.732
1601,43.731
1602,43.917
1603,43.682
1604,44.043
1605,44.619
1606,44.441
1607,46.254
1608,43.237
1609,45.131
1610,45.921
1611,43.122
1612,44.157
1613,44.003
1614,44.271
1615,43.224
1616,44.585
1617,46.442
1618,45.175
1619,47.593
1620,44.298
1621,44.354
1622,45.311
1623,44.265
1624,43.638
1625,42.742
1626,45.035
1627,45.83
1628,46.258
1629,46.264
1630,43.922
1631,45.342
1632,47.076
1633,46.128
1634,46.54
1635,46.8
1636,46.311
1637,46.702
1638,46.234
1639,46.986
1640,44.939
1641,46.839
1642,47.574
1643,46.682
1644,46.4
1645,46.251
1646,46.786
1647,46.91
1648,48.068
1649,48.207
1650,48.399
1651,46.661
1652,46.121
1653,46.121
1654,46.367
1655,45.058
1656,47.304
1657,47.568
1658,44.235
1659,49.232
1660,47.408
1661,47.333
1662,49.895
1663,48.905
1664,48.032
1665,50.103
1666,47.248
1667,47.722
1668,49.547
1669,48.44
1670,51.338
1671,56.096
1672,50.308
1673,49.63
1674,49.411
1675,49.176
1676,49.94
1677,50.402
1678,51
1679,62.198
1680,69.823
1681,58.296
1682,58.34
1683,66.485
1684,67.304
1685,158.328
1686,213.985
1687,71.131
1688,67.437
1689,60.771
1690,58.607
1691,68.798
1692,77.765
1693,62.949
1694,53.267
1695,51.103
1696,51.504
1697,51.369
1698,50
1699,50.909
1700,49.722
1701,49.523
1702,56.373
1703,52.017
1704,70.44
1705,92.585
1706,51.483
1707,50.534
1708,51.61
1709,50.209
1710,50.476
1711,52.374
1712,51.373
1713,52.818
1714,54.618
1715,53.354
1716,53.421
1717,51.087
1718,51.816
1719,50.747
1720,51.442
1721,51.284
1722,52.026
1723,51.612
1724,51.688
1725,52.776
1726,50.841
1727,52.518
1728,50.886
1729,51.07
1730,52.835
1731,49.735
1732,51.759
1733,51.004
1734,53.221
1735,51.307
1736,51.771
1737,51.949
1738,51.822
1739,56.14
1740,52.585
1741,53.106
1742,53.703
1743,52.616
1744,53.825
1745,53.556
1746,55.453
1747,55.071
1748,52.72
1749,53.05
1750,52.662
1751,53.91
1752,51.931
1753,54.308
1754,54.443
1755,52.585
1756,53.057
1757,53.963
1758,52.489
1759,53.4
1760,54.464
1761,53.581
1762,53.795
1763,54.039
1764,54.669
1765,53.38
1766,55.034
1767,54.561
1768,53.917
1769,53.612
1770,54.724
1771,54.135
1772,54.43
1773,54.778
1774,55.501
1775,54.039
1776,55.45
1777,57.461
1778,72.886
1779,125.192
1780,55.732
1781,55.482
1782,56.703
1783,56.077
1784,55.895
1785,57.143
1786,56.639
1787,54.996
1788,56.135
1789,55.065
1790,56.152
1791,72.72
1792,130.01
1793,54.401
1794,56.97
1795,56.046
1796,58.582
1797,56.432
1798,56.814
1799,55.821
1800,57.822
1801,57.825
1802,57.361
1803,58.993
1804,80.729
1805,56.637
1806,57.521
1807,57.854
1808,57.498
1809,57.816
1810,57.126
1811,59.797
1812,58.255
1813,55.931
1814,58.056
1815,57.665
1816,59.758
1817,59.138
1818,56.854
1819,58.579
1820,57.112
1821,59.076
1822,56.286
1823,59.265
1824,58.826
1825,57.853
1826,58.944
1827,58.526
1828,58.817
1829,59.193
1830,58.463
1831,58.194
1832,58.806
1833,58.625
1834,59.695
1835,58.221
1836,62.668
1837,59.015
1838,59.376
1839,59.637
1840,60.924
1841,59.731
1842,59.761
1843,58.904
1844,59.863
1845,59.642
1846,59.559
1847,59.37
1848,58.488
1849,59.804
1850,60.306
1851,60.339
1852,59.999
1853,60.209
1854,59.924
1855,58.742
1856,60.893
1857,59.914
1858,60.86
1859,59.636
1860,60.165
1861,59.433
1862,65.951
1863,61.897
1864,63.18
1865,61.155
1866,61.696
1867,62.054
1868,60.685
1869,62.465
1870,61.987
1871,60.531
1872,61.383
1873,61.468
1874,62.343
1875,63.411
1876,61.378
1877,62.945
1878,62.565
1879,63.612
1880,61.286
1881,63.445
1882,62.775
1883,60.764
1884,61.335
1885,61.144
1886,61.505
1887,62.014
1888,61.773
1889,60.971
1890,62.411
1891,63.857
1892,66.256
1893,62.653
1894,63.038
1895,63.911
1896,63.922
1897,63.103
1898,62.838
1899,62.785
1900,62.893
1901,65.143
1902,64.022
1903,63.716
1904,66.638
1905,66.204
1906,68.126
1907,67.545
1908,68.118
1909,64.841
1910,65.569
1911,66.1
1912,70.668
1913,65.285
1914,65.729
1915,67.428
1916,66.997
1917,68.956
1918,67.675
1919,68.553
1920,71.814
1921,68.458
1922,74.078
1923,67.97
1924,66.7
1925,68.592
1926,68.023
1927,66.945
1928,68.195
1929,68.018
1930,69.013
1931,69.949
1932,68.004
1933,69.685
1934,66.556
1935,69.013
1936,70.653
1937,72.002
1938,69.215
1939,85.645
1940,67.96
1941,73.276
1942,67.338
1943,67.559
1944,66.037
1945,67.552
1946,71.363
1947,73.967
1948,76.375
1949,73.76
1950,77.482
1951,70.973
1952,80.16
1953,75.567
1954,77.722
1955,72.556
1956,77.485
1957,74.76
1958,71.238
1959,69.883
1960,71.247
1961,74.129
1962,74.471
1963,76.478
1964,70.296
1965,78.752
1966,76.048
1967,75.571
1968,75.552
1969,72.681
1970,72.712
1971,75.982
1972,77.826
1973,70.215
1974,68.475
1975,67.864
1976,71.906
1977,73.352
1978,70.734
1979,95.409
1980,73.858
1981,77.442
1982,80.63
1983,79.762
1984,84.391
1985,127.361
1986,95.275
1987,158.612
1988,112.927
1989,78.553
1990,168.301
1991,75.44
1992,90.694
1993,83.333
1994,81.871
1995,80.152
1996,78.692
1997,77.549
1998,83
1999,85.615
2000,79.264
2001,74.299
2002,75.803
2003,75.587
2004,75.205
2005,76.457
2006,74.377
2007,74.457
2008,75.708
2009,75.28
2010,83.62
2011,100.739
2012,80.296
2013,75.54
2014,77.686
2015,79.789
2016,80.506
2017,79.062
2018,84.759
2019,100.985
2020,85.046
2021,77.79
2022,82.05
2023,82.914
2024,79.658
2025,75.479
2026,80.243
2027,79.657
2028,77.066
2029,80.68
2030,80.714
2031,79.601
2032,79.202
2033,81.134
2034,84.823
2035,77.764
2036,79.817
2037,77.432
2038,78.665
2039,79.475
2040,78.584
2041,77.793
2042,78.429
2043,75.06
2044,76.506
2045,76.848
2046,75.465
2047,77.47
2048,75.875
2049,76.826
2050,81.139
2051,78.681
2052,75.87
2053,77.44
2054,77.672
2055,79.001
2056,77.427
2057,77.057
2058,77.393
2059,77.319
2060,77.402
2061,78.426
2062,75.413
2063,78.616
2064,76.297
2065,76.717
2066,77.827
2067,79.442
2068,78.589
2069,77.417
2070,79.868
2071,78.949
2072,78.386
2073,78.495
2074,82.309
2075,77.608
2076,81.563
2077,89.548
2078,96.481
2079,105.117
2080,114.119
2081,113.071
2082,108.637
2083,98.818
2084,110.009
2085,103.023
2086,95.368
2087,129.72
2088,100.069
2089,151.258
2090,102.366
2091,125.107
2092,115.598
2093,132.023
2094,121.739
2095,97.164
2096,92.226
2097,89.831
2098,96.611
2099,98.864
2100,94.185
2101,98.409
2102,89.059
2103,92.942
2104,89.654
2105,88.105
2106,90.981
2107,92.299
2108,92.174
2109,90.171
2110,92.626
2111,99.809
2112,96.879
2113,92.717
2114,92.613
2115,92.182
2116,92.104
2117,91.653
2118,97.784
2119,94.259
2120,93.331
2121,90.868
2122,99.293
2123,95.533
2124,92.783
2125,91.419
2126,92.413
2127,97.021
2128,91.82
2129,92.159
2130,92.169
2131,97.013
2132,96.813
2133,95.177
2134,92.835
2135,98.005
2136,93.957
2137,95.036
2138,100.302
2139,102.202
2140,96.625
2141,94.242
2142,96.424
2143,96.23
2144,93.797
2145,94.418
2146,98.189
2147,95.051
2148,96.137
2149,94.826
2150,94.122
2151,96.755
2152,95.452
2153,96.88
2154,95.217
2155,95.178
2156,96.871
2157,95.197
2158,94.697
2159,93.41
2160,97.98
2161,95.114
2162,100.591
2163,97.602
2164,97.33
2165,98.043
2166,100.367
2167,97.29
2168,96.884
2169,101.318
2170,97.702
2171,98.115
2172,96.956
2173,98.488
2174,98.3
2175,98.057
2176,97.803
2177,98.021
2178,103.821
2179,96.898
2180,97.644
2181,98.756
