Tamaño de matriz,Tiempo de ejecución (ms),Suma total
497,8.687,1110342
498,8.8044,1116532
499,8.323,1121097
500,8.1955,1124989
501,8.6044,1128943
502,8.5128,1134131
503,8.2903,1136194
504,8.057,1141649
505,8.73,1148526
506,9.6416,1154484
507,8.3696,1158044
508,8.1492,1163342
509,8.7101,1165725
510,7.8132,1170722
511,8.5439,1176493
512,8.5497,1179108
513,8.062,1185859
514,8.8658,1192045
515,8.2477,1194100
516,8.8568,1197841
517,8.353,1203420
518,7.2242,1206425
519,8.2387,1211224
520,8.2881,1214565
521,8.527,1222311
522,8.4155,1226077
523,8.3704,1231146
524,7.8269,1237265
525,8.7523,1238893
526,7.9674,1243814
527,8.3196,1249545
528,7.9956,1255200
529,8.2451,1259250
530,6.833,1263636
531,7.4226,1268410
532,7.3565,1272378
533,23.1791,1276269
534,22.3668,1282958
535,22.7274,1288138
536,23.6783,1294257
537,23.0671,1297231
538,23.2842,1302662
539,23.6294,1305433
540,22.5399,1312020
541,22.4759,1318571
542,24.1675,1321540
543,22.1956,1326138
544,22.5447,1332192
545,22.7129,1340310
546,22.5315,1343869
547,22.7992,1344953
548,22.4637,1350079
549,23.7537,1360172
550,23.0963,1358185
551,22.3217,1365238
552,21.6382,1368019
553,7.5279,1376829
554,21.7258,1381884
555,7.1942,1385909
556,7.5919,1390268
557,7.2255,1393886
558,7.5579,1403537
559,7.0384,1404050
560,7.3895,1411226
561,7.0674,1417518
562,6.519,1421459
563,7.2879,1426262
564,7.1146,1431507
565,6.9403,1437170
566,7.56,1442754
567,6.5135,1447372
568,6.6404,1452005
569,5.986,1456967
570,7.5177,1463422
571,6.7601,1467668
572,6.6931,1472500
573,6.4192,1474956
574,7.1897,1483036
575,7.2035,1491712
576,5.1003,1491365
577,6.4221,1500590
578,6.9413,1500489
579,5.9798,1512215
580,6.8905,1512578
581,6.0509,1517677
582,6.0486,1522481
583,5.5635,1528348
584,21.4427,1535088
585,21.1357,1538926
586,21.9081,1546857
587,21.496,1552362
588,21.0943,1558539
589,21.29,1563184
590,21.7315,1566346
591,20.9902,1570541
592,21.8748,1579314
593,20.4586,1581567
594,22.1266,1586055
595,20.4314,1593216
596,21.5069,1597489
597,21.0103,1604518
598,22.1577,1611153
599,20.9722,1613723
600,21.5031,1618717
601,20.8738,1627218
602,20.832,1631767
603,5.696,1637758
604,21.0397,1640054
605,5.1561,1646010
606,5.7105,1650699
607,5.7622,1659350
608,5.2948,1662858
609,6.1004,1668594
610,6.043,1673454
611,5.7909,1677325
612,5.6842,1687419
613,5.6745,1688577
614,5.9479,1698975
615,5.6775,1706419
616,5.4479,1705402
617,5.3061,1713266
618,5.03,1719132
619,5.4732,1724264
620,5.67,1727636
621,4.3823,1738018
622,5.5088,1742593
623,5.6906,1750558
624,5.0616,1753843
625,5.3535,1758711
626,5.0582,1764489
627,4.9727,1768693
628,5.1998,1773898
629,5.1501,1780168
630,5.9159,1784481
631,5.5015,1790146
632,4.6148,1797433
633,5.4066,1803348
634,5.244,1812792
635,4.5258,1815651
636,4.5668,1821124
637,4.4563,1822923
638,20.1387,1829103
639,19.8739,1836417
640,20.3493,1840832
641,20.0193,1846665
642,20.1524,1851101
643,19.5597,1861915
644,19.1133,1866908
645,20.1853,1874699
646,21.1186,1875543
647,20.8324,1884196
648,18.7693,1887628
649,19.5333,1895141
650,20.2761,1903279
651,20.2881,1908440
652,20.1143,1914884
653,18.9529,1919263
654,18.1893,1922734
655,20.7634,1930874
656,19.3139,1936494
657,19.8593,1940226
658,20.4879,1949343
659,19.4437,1957536
660,20.2322,1958884
661,19.5668,1969115
662,18.9494,1972951
663,20.4855,1977181
664,19.9478,1981924
665,18.2043,1988268
666,18.9764,1996037
667,19.9123,2006255
668,19.1945,2010147
669,18.7208,2016922
670,4.0265,2016972
671,4.3485,2029672
672,19.3475,2030066
673,18.067,2040285
674,3.391,2045527
675,3.2178,2047610
676,3.513,2058047
677,3.0767,2064390
678,2.5552,2067030
679,4.1445,2076385
680,3.1166,2082433
681,4.5246,2086864
682,4.3121,2090174
683,2.9898,2097285
684,4.0471,2103322
685,4.5743,2109890
686,2.0463,2118169
687,3.0998,2124895
688,4.2258,2130254
689,3.3605,2134385
690,2.5174,2144580
691,3.6864,2148220
692,2.7406,2155047
693,3.0036,2161713
694,17.6861,2166840
695,19.1516,2172738
696,18.0049,2184055
697,18.3771,2187192
698,18.5526,2194317
699,19.334,2198047
700,18.5441,2205519
701,17.5986,2209301
702,18.3237,2216469
703,18.3582,2225630
704,17.646,2229965
705,17.9901,2236987
706,18.0828,2238814
707,17.7856,2244935
708,18.0701,2257550
709,18.9841,2262125
710,17.2969,2268563
711,18.7829,2276102
712,18.4124,2279663
713,18.3294,2288369
714,16.9191,2296135
715,17.6984,2298787
716,18.2467,2309737
717,17.956,2315411
718,17.2934,2319288
719,17.9643,2321114
720,16.792,2331995
721,17.7453,2338232
722,18.1935,2342515
723,17.4287,2351457
724,17.195,2360467
725,17.6151,2364647
726,18.0924,2369749
727,17.3077,2380251
728,17.2073,2386701
729,17.5861,2392014
730,18.1068,2395661
731,16.0932,2405726
