Tamaño de matriz,Tiempo de ejecución (ms),Suma total
857,1.9051,3305144
858,2.2251,3310500
859,2.4191,3316737
860,2.089,3331609
861,2.3406,3332965
862,2.3942,3344124
863,1.6994,3351793
864,2.2692,3362172
865,1.7567,3370439
866,2.2971,3375109
867,2.4184,3384223
868,2.2065,3390739
869,2.3793,3401266
870,2.3356,3408186
871,3.1235,3415272
872,2.2263,3420742
873,2.2884,3430677
874,2.2425,3436784
875,2.1075,3442870
876,2.7552,3453564
877,1.8756,3460710
878,1.9183,3466936
879,2.0234,3472989
880,2.5414,3483668
881,2.0944,3496755
882,2.2049,3498217
883,1.9895,3512427
884,1.6824,3517083
885,1.9753,3524730
886,2.5064,3527977
887,1.8629,3537599
888,2.2377,3548532
889,1.9222,3557538
890,2.2251,3568755
891,2.3357,3568230
892,3.0978,3585093
893,1.8795,3589975
894,2.3118,3597803
895,1.7677,3604298
896,2.1633,3613583
897,2.3122,3619298
898,2.0086,3628518
899,2.4779,3637424
900,2.1051,3647226
901,3.1076,3650614
902,2.196,3660634
903,2.2754,3669469
904,2.7307,3676804
905,2.2912,3682013
906,2.3385,3694532
907,2.0583,3698079
908,1.816,3709494
909,2.203,3716289
910,2.4168,3721532
911,2.7408,3736470
912,2.3813,3743787
913,2.5233,3747838
914,2.5608,3756999
915,2.5764,3772699
916,2.9817,3776577
917,1.8764,3780577
918,2.1218,3792476
919,1.861,3797401
920,2.0899,3810581
921,2.4737,3810953
922,2.4662,3823350
923,1.5269,3837295
924,3.0353,3837854
925,2.0877,3852724
926,2.5309,3857908
927,2.3453,3868987
928,2.1651,3877159
929,1.4812,3885058
930,2.9741,3896134
931,2.7765,3900874
932,2.4013,3902892
933,2.2116,3917222
934,2.2586,3924478
935,2.1895,3933388
936,2.544,3944173
937,2.3488,3950153
938,2.3486,3951841
939,2.1668,3967111
940,2.5793,3975682
941,2.3011,3984308
942,2.2785,3989304
943,3.0224,4007052
944,2.412,4009350
945,2.144,4018148
946,2.2401,4028815
947,2.6499,4031015
948,2.0604,4042173
949,2.2317,4056590
950,2.2166,4059422
951,2.4156,4073120
952,2.2833,4080306
953,1.9891,4085690
954,2.0416,4097247
955,2.5038,4106418
956,2.5329,4112203
957,2.1232,4122439
958,2.0784,4131238
959,1.9449,4135129
960,2.8261,4146659
961,2.1687,4157553
962,2.2292,4165352
963,2.0327,4172604
964,2.4167,4183416
965,2.469,4189962
966,2.6087,4197827
967,2.5455,4207598
968,2.2858,4214322
969,2.7044,4225409
970,2.2556,4232281
971,2.1519,4241539
972,2.6215,4251459
973,2.0497,4261691
974,2.7564,4264589
975,2.502,4275477
976,2.4961,4282975
977,2.93,4298138
978,2.3016,4305846
979,3.0358,4306450
980,2.5454,4315775
981,2.6859,4329519
982,2.5421,4342403
983,2.5253,4348577
984,2.2978,4355026
985,3.2651,4364787
986,2.4516,4381904
987,2.6751,4380398
988,2.2143,4395695
989,2.8102,4402119
990,2.2822,4411857
991,2.2377,4418907
992,3.0473,4429104
993,2.8197,4439144
994,2.2209,4445236
995,2.4392,4460355
996,2.4534,4463504
997,2.1436,4474332
998,2.6662,4477401
999,2.4666,4486299
1000,2.6424,4504244
1001,2.143,4508987
1002,2.431,4515335
1003,2.2111,4527589
1004,2.3306,4537029
1005,2.734,4545628
1006,2.2267,4549444
1007,2.8813,4565949
1008,2.3143,4576204
1009,2.8323,4580217
1010,2.8172,4590439
1011,2.4675,4603357
1012,2.9284,4603776
1013,2.7557,4617981
1014,2.4238,4630563
1015,2.9611,4633402
1016,2.2267,4647247
1017,2.5375,4653297
1018,2.7064,4662419
1019,2.5367,4669846
1020,2.4359,4684833
1021,2.8505,4695974
1022,2.9914,4698830
1023,2.8862,4709469
1024,2.901,4717621
1025,2.6758,4730538
1026,2.2064,4733171
1027,2.1881,4744110
1028,2.0949,4758687
1029,2.6634,4759968
1030,2.3338,4772372
1031,2.3796,4787906
1032,2.3828,4790580
1033,2.3268,4798514
1034,2.9831,4807020
1035,2.2138,4822408
1036,3.1401,4831254
1037,2.5551,4841011
1038,2.7257,4851292
1039,3.0236,4857362
1040,2.5089,4865174
1041,2.5348,4873409
1042,1.9198,4881611
1043,2.8179,4893876
1044,2.3635,4909285
1045,2.8177,4914759
1046,2.6172,4923406
1047,2.7278,4936479
1048,3.0225,4939138
1049,2.4137,4949070
1050,2.4993,4960333
1051,2.3494,4970561
1052,2.3188,4981247
1053,2.4897,4989498
1054,2.4834,4998098
1055,2.5666,5006682
1056,2.5674,5019200
1057,2.9064,5021429
1058,2.7924,5037244
1059,2.5726,5049019
1060,2.4358,5058891
1061,2.4257,5068546
1062,3.2605,5076156
1063,2.2575,5085521
1064,2.6349,5088763
1065,3.0345,5106864
1066,2.6037,5111154
1067,2.9474,5122009
1068,2.7893,5127417
1069,2.7283,5141402
1070,2.6039,5152725
1071,3.4033,5164019
1072,2.3565,5173690
1073,2.3892,5179042
1074,2.496,5194809
1075,2.589,5198057
1076,2.4531,5206201
1077,2.6621,5222957
1078,2.3689,5236930
1079,2.4467,5243715
1080,2.8257,5245589
1081,2.6832,5254919
1082,2.6564,5272262
1083,2.6315,5274557
1084,2.5916,5286551
1085,2.5103,5298840
1086,2.705,5304167
1087,2.6371,5318942
1088,2.4398,5326993
1089,2.3767,5336919
1090,2.5359,5345776
1091,2.8531,5355459
1092,2.7524,5363585
1093,2.8039,5373427
1094,3.0466,5388274
1095,2.5265,5395160
1096,2.4577,5407958
1097,3.0789,5408968
1098,3.3172,5421464
1099,3.0544,5431254
1100,2.6456,5451743
1101,2.786,5455360
1102,2.7547,5463149
1103,2.7619,5473584
1104,2.4385,5480881
1105,2.9109,5497443
1106,3.0492,5503133
1107,2.8811,5519047
1108,3.4296,5526268
1109,2.8237,5533352
1110,2.5093,5546155
1111,2.5379,5556912
1112,2.6108,5562577
1113,3.1004,5573471
1114,2.3266,5587197
1115,2.5439,5599157
1116,2.5674,5605584
1117,2.4349,5612316
1118,2.5655,5629614
1119,2.8539,5632414
1120,2.8883,5643172
1121,3.271,5651652
1122,3.3376,5659701
1123,2.9541,5668369
1124,2.7594,5685393
1125,2.738,5691047
1126,2.8346,5710420
1127,2.3882,5715231
1128,3.7305,5729111
1129,2.9575,5731678
1130,2.6949,5745619
1131,2.8421,5755082
1132,2.481,5759138
1133,2.9241,5776372
1134,2.8282,5788345
1135,2.7794,5797951
1136,2.9385,5804179
1137,3.2361,5819507
1138,2.816,5824719
1139,2.7681,5839927
1140,2.9237,5850187
1141,2.4638,5861355
1142,3.1304,5871414
1143,3.0128,5877762
1144,3.1034,5892568
1145,2.6914,5901725
1146,2.9025,5914675
1147,2.9002,5918070
1148,2.7883,5925895
1149,2.9631,5939517
1150,2.8376,5946464
1151,2.9763,5962993
1152,3.0535,5975466
1153,2.5516,5985389
1154,3.6281,5992183
1155,2.7356,5997884
1156,2.1079,6004547
1157,2.7862,6017656
1158,2.5567,6036837
1159,2.6406,6048363
1160,2.5199,6051784
1161,3.0225,6068488
1162,3.3989,6071220
1163,3.1192,6088882
1164,3.4142,6096880
1165,2.8941,6103583
1166,3.1761,6111737
1167,2.8146,6136114
1168,2.9905,6140965
1169,3.1198,6144678
1170,2.7643,6160774
1171,3.1732,6171010
1172,2.7624,6173383
1173,2.9743,6194138
1174,3.1375,6201314
1175,3.5575,6211906
1176,2.9898,6226601
1177,2.8008,6239690
1178,2.7136,6245960
1179,3.4822,6252501
1180,2.7917,6267227
1181,3.0868,6275798
1182,2.5942,6284635
1183,2.4585,6297161
1184,3.2811,6308274
1185,2.9622,6326101
1186,3.0188,6332737
1187,2.5652,6341849
1188,3.1097,6351507
1189,3.8098,6364694
1190,3.0901,6374921
1191,3.0228,6378589
1192,2.7728,6392357
1193,3.3528,6401994
1194,2.4911,6418715
1195,2.5827,6426594
1196,3.2661,6430120
1197,2.8741,6445659
1198,3.4358,6463992
1199,2.9916,6470569
1200,3.1401,6478724
1201,3.1274,6491244
1202,2.4003,6499969
1203,3.2262,6513928
1204,3.2152,6526176
1205,3.3242,6535730
1206,3.3019,6550358
1207,3.5449,6555028
1208,3.865,6569958
1209,3.638,6580083
1210,3.3002,6584554
1211,2.7245,6597510
1212,3.1006,6610082
1213,3.1566,6619498
1214,3.249,6634925
1215,3.2592,6640025
1216,3.0169,6650051
1217,3.1002,6661670
1218,3.1567,6674560
1219,3.0362,6687958
1220,2.8487,6699786
1221,2.7,6712982
1222,2.8587,6721026
1223,3.3117,6733528
1224,3.4632,6737301
1225,3.4767,6753802
1226,3.2017,6766345
1227,3.3242,6776725
1228,2.9344,6787288
1229,2.9406,6793947
1230,3.6078,6807855
1231,3.4058,6824049
1232,2.9568,6828261
1233,4.2419,6838530
1234,3.4738,6853474
1235,3.3215,6868509
1236,2.9432,6870385
1237,3.0608,6887221
1238,3.5141,6905986
1239,3.07,6911734
1240,2.9691,6912934
1241,3.2839,6933603
1242,3.2287,6943968
1243,3.1776,6952672
1244,3.6869,6966447
1245,2.963,6973744
1246,3.1546,6992266
1247,3.2555,6999602
1248,2.927,7000698
1249,2.8867,7018172
1250,3.2679,7028539
1251,3.0127,7046709
1252,2.9408,7057777
1253,3.1082,7070229
1254,2.9867,7076707
1255,3.5769,7083706
1256,3.642,7102544
1257,3.1174,7109125
1258,3.8214,7120122
1259,4.0089,7136768
1260,3.3226,7150667
1261,2.8741,7155599
1262,3.4228,7167539
1263,3.7735,7185203
1264,3.0615,7193184
1265,3.2413,7199198
1266,3.8614,7214964
1267,2.9712,7221804
1268,3.4168,7235613
1269,3.0706,7242872
1270,3.308,7254532
1271,3.7168,7261026
1272,3.4014,7276636
1273,3.4703,7292999
1274,3.4652,7300519
1275,2.7566,7314946
1276,2.8075,7327652
1277,3.2987,7337465
1278,3.5956,7346683
1279,3.2177,7361375
1280,3.7727,7376102
1281,3.5575,7381393
1282,3.7154,7396520
1283,3.1179,7407643
1284,3.3554,7416768
1285,3.1344,7428377
1286,3.4236,7451685
1287,3.335,7452230
1288,3.1244,7465377
1289,3.3535,7480064
1290,3.4317,7483941
1291,3.4979,7496406
1292,3.5589,7512431
1293,3.354,7524568
